lat,lon,user_class,demand_mbps
51.47306163701559,-3.1667372332380874,heavy,11
51.51263815752879,0.015673889443336343,light,1
51.6289167169898,-0.26231618726516803,heavy,18
51.50564493019499,-0.000444879481026169,heavy,16
51.73485146114392,-0.21549896569519278,moderate,8
51.5203145970557,-0.25049098936025266,heavy,13
51.54834997446552,-2.401995695183742,heavy,22
51.49387435204037,0.05913473600930018,moderate,9
51.61780832834847,-0.28151789992625076,moderate,10
51.47073517412248,0.03465061751373752,moderate,10
51.701403985976086,-0.3335253441649768,light,5
51.51281029896254,-0.280138553035086,moderate,6
51.532082460018614,-0.017898382960515977,light,2
51.686592718724704,-0.43541484482278736,light,2
51.695494376943216,-0.1878959393255802,light,5
51.57470259814121,-3.0091836181820466,light,3
51.4888462230786,-0.10233652192866759,light,4
51.438739996102406,-0.15616539403625068,light,4
51.517814266636506,0.03804294600137006,light,2
51.499831298312394,-0.1350364637152623,light,1
53.63957594363506,-2.6839723156746347,moderate,6
51.44590565731856,0.24839662906908655,light,5
51.541643361892476,-0.02752493917777864,moderate,10
51.512030450267815,-0.08790842344548823,light,2
51.47976365014824,-0.0277546887267221,moderate,10
51.44518062505259,0.19964950028466177,moderate,10
51.50504442682568,-0.16053576849663959,moderate,7
51.49802868970098,-2.704730474855607,light,3
51.54999829928644,-2.587654671817836,light,2
51.48219530394324,-0.063299051938724,moderate,6
51.53726431669095,-0.12071656776721393,moderate,6
53.378963324911155,-1.461592910582625,moderate,10
51.579011043673006,-3.0189723567670543,moderate,8
51.497352942150656,0.07052216361361877,light,4
51.543774071485856,-0.0422296108549011,light,1
51.59878029959278,-3.0054032078567112,light,1
53.37616166748208,-1.4635412115926856,light,4
51.558049462455024,-0.05759507639503273,light,2
51.50454049716047,-0.07185834919608752,moderate,8
51.572815931609206,-0.1401075993702989,moderate,9
51.476031046710226,-2.535717169861827,heavy,19
51.49932285599555,0.047136345978460274,moderate,10
51.616272049486476,-0.14513646531821725,moderate,10
51.4171738442325,-1.3279258779333947,moderate,7
51.51768389769885,-0.10288749538162989,light,2
51.626894894340914,-0.28857637879090214,light,1
51.51620981395258,0.0037288258619942705,heavy,15
51.9829651729679,-0.7534848137772275,light,4
51.49854213158156,-0.041038996979984574,moderate,9
53.71726745575104,-2.6578615799677348,light,2
51.49797941557809,-0.07101871909805002,light,3
51.4606031674311,0.012504339987934137,light,3
51.52684259215103,-0.1517422610081357,light,4
51.490719567923655,-0.0525448665034876,heavy,27
51.46116094542818,-0.10934740457553949,moderate,6
51.537146435359936,-2.5571094406983197,light,2
51.511449150556324,0.0105763408942785,heavy,16
51.52978371634644,-0.12587923920666072,heavy,24
51.52215418493016,-0.021926727749028013,heavy,25
51.5030153497634,-0.11486605908186277,heavy,18
51.49191246806443,-0.003493477166435041,moderate,10
51.51368353063773,-0.1502386764003462,moderate,7
51.486122589948344,-0.01658991123356849,light,4
51.48943761018166,0.10095956581069332,light,1
51.49278656567407,-0.060956499539148085,light,5
51.48016854984713,-0.15023773176378974,light,3
51.41284773557387,-0.13484830912077023,moderate,7
51.49345063998137,-0.14003528213835306,light,1
51.600830881019945,-0.11261480246273703,moderate,6
51.65902638326065,-0.3692020265539725,light,1
51.53289726902955,-3.1950423910562478,light,3
51.52536581991491,-0.03423161195798386,light,2
51.56409359111219,-0.12602928987183915,light,3
51.47459563165753,-2.5627901426285615,moderate,9
51.45265978921989,-2.5706526751032146,moderate,8
51.46941400188075,-0.08882472431510079,light,3
51.53987267877212,-0.12176929426473203,light,2
51.42324877627047,-0.8858781189568964,light,2
51.509818444282075,-0.11979046724045297,moderate,6
51.488645899129175,-2.6772947872909514,light,3
51.52128827425859,-0.07728443750919377,light,3
51.525759568994424,-2.5801991054328766,heavy,28
51.61168154961412,-0.27638497153119235,light,1
51.49866820173675,-0.07541822163090668,heavy,11
51.54012478711936,-1.7942231001520803,heavy,15
51.62010379135579,-0.27599556559979777,moderate,9
51.456629896501575,0.26361936555491683,light,2
51.9942701009403,-0.7376342676291425,light,1
51.515760599785,-0.24248661735596053,light,2
51.521822026880805,-0.12601237505509646,moderate,10
51.51375427929488,-0.09531019502627275,moderate,10
51.49709084446478,-0.1773609199880567,heavy,21
51.463207689233705,0.18745961133333963,moderate,8
51.679142499998335,-0.018421208183324628,light,5
51.499266544564065,-0.07252669662979258,light,3
51.681443648378504,-0.06153650117163145,light,5
51.51622636308495,-0.4275223568360455,light,4
51.511727996995205,-0.06865832085431206,moderate,6
51.50366391715039,0.0872621164251595,moderate,6
51.5101915387075,-0.35099217603945654,light,2
51.54548868572192,-0.03424752494375969,moderate,9
51.498956876055665,-2.4651568123713417,light,4
51.60539868706106,-0.23791997164835993,light,4
51.63879602629094,-0.26004534719871003,light,1
51.48598138814903,0.017798015278268117,moderate,8
51.540082603388605,-0.14514465806050617,light,1
51.61042148110405,-0.2571719012890577,moderate,7
51.69255558619925,-0.1962352460825936,light,1
51.524110715354034,-2.5309207321094105,light,2
51.514088101439924,-0.19942288368972003,light,4
51.512002740530264,-0.0343474380384952,heavy,12
51.52878966112976,-0.2651903445481742,moderate,10
51.50444482367082,0.27641173031393884,moderate,8
51.636789645581686,-0.2259178440631917,heavy,15
51.54608326179157,-2.4310183359926536,moderate,8
51.53140010960488,-0.13112886323859607,heavy,11
51.54499725365791,-0.0688813273148889,moderate,6
51.66876946738017,-0.051146994525546684,light,4
51.61746584187187,-0.2861681003053054,moderate,9
51.549771914130936,-0.10384906097621986,light,4
51.53509874177493,-0.13380150998588003,light,2
51.54360086657318,-0.20722692764700484,light,4
51.498525853795925,-0.46602047375412065,heavy,26
51.51353848475897,-0.11974525384357736,light,1
51.55549524498744,-0.27978606103178166,moderate,10
53.78013331969759,-0.3496128128875217,moderate,6
51.518065062558414,-0.1539656343664369,light,4
51.99926922687756,-0.736733920574114,light,3
51.54423466111547,-0.05746803981958737,light,1
51.63113319378795,-0.2973787949268611,heavy,19
51.50546348339072,-0.05080241134556127,light,5
51.50966780131025,-0.0756074801342594,light,5
51.70750785189695,-0.29193329165532633,heavy,14
51.39062409530175,-0.09281457033951895,light,1
51.51834942205708,-0.35824954089940175,light,5
51.15927314666489,-0.7071044311861541,heavy,29
53.79127221337142,-0.39007190990524004,light,5
51.49264545381005,0.0012397740807188517,moderate,8
51.502735699725626,-0.4103653765936731,moderate,8
51.52645219880062,-0.12853482569451954,light,1
51.531984534644955,-0.14758180121460227,light,4
51.10016089288149,-3.896234728078456,light,5
51.52917349528649,-0.263376965456281,heavy,22
51.54966861424717,-0.16079425730145439,light,4
51.54766808359082,-0.10279424045773616,moderate,10
51.490967156213436,-0.041141231065550406,light,3
51.517956952553305,0.008928700889438973,moderate,10
51.5319707374216,-0.14648978865004567,light,1
51.48116964394441,-0.01605647959360423,light,3
51.37458086146013,-0.09443372977071829,heavy,25
51.54026789057617,-0.0729468802376094,light,3
51.38100674895444,0.10521984239459774,light,2
51.52273211547809,-0.0794001489136124,light,1
51.49149493080611,0.13022689619564567,moderate,6
51.49437089079508,-0.09762164217353086,light,4
51.500987043793344,0.0071541570215355645,light,4
